"","id","fraction","phylum","HHW02","HHW03","HHW04","HHW05","HHW06","HHW07","HHW08","HHW10","HHW11","HHW13","HHW14","HHW15","HHW16","HHW18","HHW19","HHW21","HHW23","HHW24"
"1","5012ae7a626f09dc8785576fc10a1c81","byARMS","notAssigned",0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0
"2","5e6793f2e45dd56ea765ffd12384307a","byARMS","Mollusca",1510,1697,695,2242,1142,4214,1844,1876,236,567,193,556,523,851,1339,337,135,163
"3","0548e4efb249e178dfb2dbc3a95853d3","byARMS","Rhodophyta",0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"4","cf66dfa165da071b93e806316dbbb488","byARMS","Arthropoda",45,12,6,17,37,4,14,7,43,22,0,12,8,14,0,9,30,3
"5","4e58b2c95f4654f95c57c924965fe4e8","byARMS","Mollusca",3,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,8,5
"6","6f6c9caaafa44d7f4d1b0eddebbd4f03","byARMS","Arthropoda",0,42,28,49,61,48,0,3,0,1255,23,0,0,0,344,0,0,0
"7","2c06276479858106ba984731d4e2a13e","byARMS","notAssigned",417,311,800,253,921,1074,803,261,476,893,739,1396,1661,1019,1414,441,3383,782
"8","d1c9e0bbf614f562dc5e3a983edd1ea5","byARMS","notAssigned",3,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0
"9","7f90eb153d1698492b8daaf0785c29e9","byARMS","Echinodermata",0,51,0,7,0,15,0,1417,0,5,0,0,0,0,334,0,0,0
"10","19298162260655d897bc7108026c1e65","byARMS","Annelida",0,0,17,2,0,557,0,76,191,0,0,0,0,84,688,0,0,0
"11","7bfaa7143ea5b578d515ee8a9e70c669","byARMS","Arthropoda",0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0
"12","7adf93ed18be7d7ed5a9abb326171699","byARMS","Arthropoda",0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0
"13","e3532eda9d668436b4f089c2c7a465e5","byARMS","Porifera",2485,532,3526,562,2294,3869,2330,42,1370,302,1560,1957,3165,1965,2318,1587,6767,2078
"14","d03c005de5833861781e2c39641e7af9","byARMS","Cnidaria",135,3249,496,141,21,260,871,21,159,172,1426,160,897,259,218,284,169,150
"15","2389b787ab764ee9ca722ff91e6ea7ac","byARMS","notAssigned",0,0,0,0,0,0,3,5,0,5,5,5,10,0,14,0,5,0
"16","31dfba410419e7a9a789b29eab4264aa","byARMS","Mollusca",0,0,0,0,5,355,0,0,0,0,0,0,0,0,0,0,0,0
"17","d5fa3d72e36a2242d7277d96ad378f55","byARMS","Porifera",311,735,53,164,72,56,461,370,208,878,50,179,52,91,955,53,114,43
"18","69887bc733d998db6a50070d54dc2219","byARMS","notAssigned",0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
"19","4bacb15d98b982b563bd0153bb16a1fb","byARMS","Annelida",144,155,40,171,84,22,110,34,107,184,600,24,1948,117,86,68,318,0
"20","95b1ee635cb44320872c4918441835dc","byARMS","Arthropoda",0,0,0,0,0,0,27,0,0,23,0,0,0,0,0,0,0,0
"21","e9e25e964eabed7d483a51025940fc45","byARMS","notAssigned",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"22","22c0abec8c082d4f9ea6351ac3f5969e","byARMS","Echinodermata",1618,202,71,388,0,13,111,0,0,0,0,4,1289,0,0,209,4283,907
"23","9faf16cf57bc35334b2e4cdd3ac00019","byARMS","Nemertea",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"24","d1abcf42f7b76530b2fe629619e6f0f6","byARMS","Arthropoda",241,234,882,587,355,0,39,18,487,78,922,86,126,344,275,72,68,5
