"id","identity","alignmentLength","maxAlignment","phylum","class","order","family","genus","species","db","phylumID","classID","speciesID"
"23d60f46b053f35fbb27de9f6fc72c25",94.569,313,29600.097,"Annelida","Polychaeta","Spionida","Cirratulidae","Dodecaceria","Dodecaceria_sp._AMW23009","SHELBY",NA,NA,NA
"9a2e801265201c290234cbb4cd625a05",100,313,31300,"Annelida","Polychaeta","Eunicida","Eunicidae",NA,"Eunicidae_HK04","SHELBY",NA,NA,NA
"34afdc6b6f771c7e533cc772cdd19834",98.083,313,30699.979,"Annelida","Polychaeta","Spionida","Cirratulidae","Dodecaceria","Dodecaceria_sp._AMW23009","SHELBY",NA,NA,NA
"7d2811f0973c48db718f6549abec953d",91.054,313,28499.902,"Annelida","Polychaeta","Spionida","Cirratulidae","Dodecaceria","Dodecaceria_sp._AMW23009","SHELBY",NA,NA,NA
"fe348a1ff7faa38d6ae6b8bb25e98400",100,313,31300,"Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Monacanthus","Monacanthus_chinensis","SHELBY",NA,NA,NA
"74d85736ad8dd79e64cc7b6e55e7c330",100,313,31300,"Chordata","Actinopterygii","Perciformes","Gobiidae","Eviota","Eviota_HK01","SHELBY",NA,NA,NA
"bd6155f17bce6c04cef78938eb7ae429",100,312,31200,"Annelida","Polychaeta","Phyllodocida","Hesionidae","Leocrates","Leocrates_chinensis_HK01","SHELBY",NA,NA,NA
"84abf46dae6d7d827790c33b85966714",100,313,31300,"Porifera","Demospongiae","Suberitida",NA,"Terpios","Terpios_gelatinosus","SHELBY",NA,NA,NA
"ade3cc653418bb6fa1a4474e6b3c2b3b",100,313,31300,"Bryozoa","Gymnolaemata","Cheilostomatida","Schizoporellidae","Schizoporella","Schizoporella_pungens","SHELBY",NA,NA,NA
"ebcc40d5e025bdcb66fe5bfbc180536a",99.681,313,31200.153,"Arthropoda","Malacostraca","Decapoda","Alpheidae","Athanas","Athanas_parvus","SHELBY",NA,NA,NA
"bc66d3b8590bcd0108095d5be6df787a",81.329,316,25699.964,"Arthropoda","Insecta","Diptera","Scathophagidae",NA,"Scathophagidae_sp._BBDED058-10","SHELBY",NA,NA,NA
"9a86ea206c870563347d6dbb795ddfe4",81.23,309,25100.07,"Entoprocta",NA,NA,"Loxosomatidae","Loxosoma","Loxosoma_axisadversum","SHELBY",NA,NA,NA
"c0137523bcd125ef7585a546b2196686",100,313,31300,"Arthropoda","Malacostraca","Decapoda","Palaemonidae","Cuapetes","Cuapetes_HK02","SHELBY",NA,NA,NA
"bb8dd2f9cabb919f0fa420e66f39c764",80.449,312,25100.088,"Annelida","Polychaeta","Phyllodocida","Syllidae","Syllis","Syllis_alternata_CMC05","SHELBY",NA,NA,NA
"de9e223b7ca9e9eaa3c5e06d04e24096",100,313,31300,"Sipuncula","Phascolosomatidea","Phascolosomatida","Phascolosomatidae","Phascolosoma","Phascolosoma_HK01","SHELBY",NA,NA,NA
"1bbf7ea52be65932695ff85330961b19",100,304,30400,"Mollusca","Bivalvia","Ostreida","Ostreidae","Dendostrea","Dendostrea_sandwichensis","SHELBY",NA,NA,NA
"1efc43e70226f5f46933a5a7a4122d40",100,313,31300,"Arthropoda","Malacostraca","Decapoda","Xanthidae","Leptodius","Lepidonotus_HK01","SHELBY",NA,NA,NA
"4d73bf5088f8fb0cd31d9e078d4f28c5",89.457,313,28000.041,"Annelida","Polychaeta","Terebellida","Terebellidae","Lysilla","Lysilla_pacifica","SHELBY",NA,NA,NA
"3c44f1f28b2dbe4afb8b954cb634ea6a",100,313,31300,"Mollusca","Gastropoda","Littorinimorpha","Zebinidae","Stosicia","Stosicia_annulata","SHELBY",NA,NA,NA
